entidad,primer,tercer
Nacional,35.7,44.5
Aguascalientes,29.8,37.6
Baja California,20.3,25.8
Baja California Sur,17.1,32.5
Campeche,40.9,44.1
Coahuila,25.1,29.8
Colima,25.8,34.2
Chiapas,66.3,69.3
Chihuahua,24.1,27.6
Ciudad de México,28.4,45.1
Durango,33.7,35.4
Guanajuato,32.5,40.1
Guerrero,55.8,62.6
Hidalgo,44.4,55.1
Jalisco,23,28
Estado de México,33.2,46.6
Michoacán,31.6,35.8
Morelos,46.2,51.4
Nayarit,30.8,36.1
Nuevo León,18.6,27.9
Oaxaca,57.3,60.4
Puebla,41.7,54
Querétaro,34.1,42.4
Quintana Roo,28.5,51.5
San Luis Potosí,44.1,47.7
Sinaloa,25.4,39.4
Sonora,25.3,40
Tabasco,38.9,54.8
Tamaulipas,32.5,39.4
Tlaxcala,45.3,54.9
Veracruz,48.3,55
Yucatán,33.9,41
Zacatecas,47,44.9
