anio,sal_min
1982,355.55
1983,275.07
1984,237.08
1985,229.9
1986,215.69
1987,195.11
1988,179.44
1989,148.38
1990,148.16
1991,138.86
1992,129.93
1993,119.89
1994,119.35
1995,115.86
1996,97.56
1997,100.28
1998,96.84
1999,95.16
2000,91.97
2001,90.57
2002,90.29
2003,88.92
2004,88.44
2005,87.51
2006,87.56
2007,87.5
2008,87.74
2009,86.03
2010,86.35
2011,86.62
2012,86.75
2013,87.29
2014,86.81
2015,87.74
2016,89.09
2017,93.23
2018,97.52
2019,108.58
2020,127.53
2021,141.7
